date,CCF,CCF_quality,TPP,TPP_quality,VNS,VNS_quality,FPT,FPT_quality,CAL,CAL_quality,COS,COS_quality,MOKE,MOKE_quality,GEO_A,GEO_A_quality,GEO_C,GEO_C_quality,binarized_FREWEIR,Horizon_15,Horizon_20,Horizon_25,Horizon_30,Horizon_35,Horizon_40,Horizon_45,Horizon_50,Horizon_55,Horizon_60,Horizon_65,Horizon_70,Horizon_75,Horizon_80
7/9/2023,6577.571429,0,3953.857143,0,8732.285714,0,11672.57143,0,241.1428571,0,184.2857143,0,1374.285714,0,8127.142857,0,3055.714286,0,0,19.10113335,18.70653915,18.26430511,17.93577957,17.7207737,17.39968491,17.11539459,16.84547615,16.5100708,16.18665886,15.90073395,15.59029675,15.18676662,14.78642368
7/10/2023,6675.428571,0,4045.857143,0,8605.714286,0,11739,0,240.2857143,0,176.8571429,0,1461.428571,0,8158.571429,0,3117.142857,0,0,19.15688705,18.74267006,18.29176521,17.98569298,17.7650795,17.49650574,17.16716194,16.86458778,16.54208946,16.23209763,15.98478508,15.73626709,15.34611416,14.95763016
7/11/2023,6675.571429,0,4161.285714,0,8463.142857,0,11809.85714,0,241.1428571,0,170.2857143,0,1545.714286,0,8184.285714,0,3132.857143,0,0,19.48594284,19.10243225,18.71242905,18.37581825,18.05959892,17.72724724,17.53862953,17.45552063,17.06294823,16.8198185,16.33652115,16.04939461,15.67959213,15.26573658
7/12/2023,6675,0,4196.428571,0,8307.714286,0,11940.42857,0,244.2857143,0,163.5714286,0,1624.285714,0,8245.714286,0,3145.714286,0,0,19.64906311,19.29846764,18.89384842,18.62515259,18.25713921,18.03551102,17.83255196,17.73410988,17.37718391,17.1024437,16.573946,16.15303993,15.75558662,15.37857914
7/13/2023,6673.857143,0,4194.285714,0,8103.428571,0,12210.28571,0,250.7142857,0,157.7142857,0,1658.571429,0,8367.142857,0,3204.285714,0,0,19.66522598,19.2820282,18.85155296,18.57679749,18.20058441,17.92171478,17.67567444,17.54372025,17.20990944,16.94780159,16.43130302,16.02187729,15.69709778,15.24111271
7/14/2023,6673.285714,0,4196.142857,0,7872.285714,0,12532.28571,0,256,0,152.1428571,0,1664.285714,0,8510,0,3267.142857,0,0,19.8250885,19.42550087,19.02965927,18.68185616,18.31611252,17.9931488,17.6531105,17.45367432,17.04463005,16.70649147,16.21784782,15.82618141,15.50191116,15.03501701
7/15/2023,6673.285714,0,4198.571429,0,7674.714286,0,12893.28571,0,255.8571429,0,146.1428571,0,1711.428571,0,8662.857143,0,3338.571429,0,0,19.82744026,19.4220295,18.98435974,18.63196754,18.25603867,17.89873886,17.56766129,17.35511398,16.97124672,16.69696236,16.23434258,15.87728024,15.62720776,15.27913475
7/16/2023,6673.857143,0,4166.142857,0,7528.142857,0,13253,0,254.4285714,0,140.7142857,0,1768.571429,0,8808.571429,0,3410,0,0,19.83951187,19.38451385,18.93368721,18.57958412,18.21760178,17.89661789,17.58589554,17.32059288,16.96286964,16.7087307,16.32004547,15.94358063,15.72242165,15.336339
7/17/2023,6673.714286,0,4135,0,7411.428571,0,13627.28571,0,253.8571429,0,135.1428571,0,1825.714286,0,8982.857143,0,3497.142857,0,0,19.80871582,19.48279762,18.99951172,18.63624763,18.23884392,17.87992096,17.62273979,17.37060738,17.04502296,16.75946236,16.38870621,16.02716255,15.71114445,15.33288574
7/18/2023,6673.714286,0,4140.714286,0,7316.142857,0,14033.14286,0,251.7142857,0,130.1428571,0,1884.285714,0,9191.428571,0,3638.571429,0,0,19.88580132,19.5420742,19.01367569,18.66804886,18.2832222,17.89281273,17.64271927,17.42065811,17.11211205,16.82862854,16.48646164,16.10375786,15.73822975,15.36147213
7/19/2023,6667.285714,0,4139.714286,0,7197.714286,0,14394.14286,0,247.1428571,0,125.4285714,0,1940,0,9354.285714,0,3780,0,0,19.97644997,19.66835976,19.20194435,18.85174561,18.46063995,18.0845089,17.77398682,17.53679466,17.18014908,16.88531876,16.51194572,16.12422943,15.76122189,15.40155602
7/20/2023,6574.714286,0,4139.142857,0,7028.142857,0,14589.14286,0,241.8571429,0,120.5714286,0,1948.571429,0,9447.142857,0,3857.142857,0,0,19.6792984,19.33948898,18.89904404,18.51915359,18.18501854,17.91210938,17.45182991,17.17789459,16.8421154,16.54013252,16.23145485,15.94421196,15.56141663,15.21198463
7/21/2023,6574.285714,0,4135.857143,0,6831.571429,0,14740.5,0.142857143,237.8571429,0,116.5714286,0,1925.714286,0,9525.714286,0,3904.285714,0,0,19.74664688,19.41275597,18.97037125,18.57957077,18.23494339,17.91928482,17.4566288,17.17730522,16.85674858,16.56789017,16.25451279,15.9816761,15.62512112,15.31478786
7/22/2023,6574,0,4133.571429,0,6601,0,14844.5,0.142857143,239.4285714,0,113,0,1837.142857,0,9591.428571,0,3931.428571,0,0,19.93221092,19.55110359,19.13314819,18.74463844,18.30372047,18.02585793,17.63599014,17.37809372,17.11102295,16.86010551,16.56433678,16.29844666,15.93034649,15.54980183
7/23/2023,6573.571429,0,4182.285714,0,6349.571429,0,14901.64286,0.142857143,242,0,109.8571429,0,1734.285714,0,9654.285714,0,3947.142857,0,0,20.13352585,19.78249359,19.403759,19.02309227,18.59198189,18.23703194,17.99397659,17.77591133,17.4430542,17.19953728,16.85456276,16.50742531,16.17562103,15.70307922
7/24/2023,6571.285714,0,4218,0,6097.714286,0,14955.07143,0.142857143,242.4285714,0,107.1428571,0,1628.571429,0,9722.857143,0,3971.428571,0,0,20.31563377,20.00621033,19.52311134,19.14954185,18.71341896,18.31857109,18.06161308,17.82778931,17.45666504,17.24760437,16.89663887,16.58607101,16.26141357,15.7918911
7/25/2023,6542,0,4214.285714,0,5857.142857,0,15005.64286,0.142857143,245,0,104.2428571,0,1521.428571,0,9812.857143,0,3987.142857,0,0,20.40612984,20.0064106,19.63400078,19.22673607,18.83836555,18.39209747,18.1232872,17.82803154,17.47348976,17.21000671,16.85912514,16.4874115,16.11458397,15.76801777
7/26/2023,6548.714286,0,4213.571429,0,5648.714286,0,15111.5,0.142857143,248,0,101.6714286,0,1418.571429,0,9940,0,3987.142857,0,0,20.62440109,20.18345833,19.59420967,19.31617355,18.91946793,18.49799728,18.12412453,17.89254951,17.51962471,17.20885086,16.8116703,16.45279884,16.05081367,15.71343231
